text,created_at,author_id
"Le ministère de la Santé et de la Protection sociale a annoncé, mardi, la fin de la deuxième vague #Omicron...

Détails:https://t.co/JhlxYasRAD https://t.co/EAtpQMPxU7",2022-08-09 13:34:09+00:00,1353672965322387456
"La Commission européenne a signé un nouvel accord avec #Moderna sécurisant notamment 15 millions de doses supplémentaires de vaccins bivalents souche d'origine et variant #Omicron, en plus des commandes déjà passées et décalées à l'automne/hiver. #Covid19

https://t.co/yFCj3exiAQ https://t.co/54Unpy1lyC",2022-08-09 13:33:49+00:00,148034143
"In addition, the European Commission has agreed to purchase an additional 15 million doses of our #Omicron-containing vaccine #booster candidates.
https://t.co/Wh5HeN8Abb",2022-08-09 13:30:02+00:00,2227355222
Boson Antigen Rapid Test Kits will give you the fastest results to get you back to full health asap.# COVID19  #covidtest #Hometest #Omicron #Rapidtest #testkits https://t.co/aOzTgXOxJD,2022-08-09 13:26:54+00:00,1556977054893019138
"The neutralizing activity of a panel of 482 human monoclonal antibodies against #Omicron BA.4 and BA.5
https://t.co/whEveXhmMf",2022-08-09 13:20:13+00:00,562973000
"UNV TIN BUỔI SÁNG: 9/8/2022
https://t.co/iWcT2dDGeF
#tintuc #tinbuoisang #unv #news #nguoiviet #tinhoaky #andynguyen #Unvtinbuoisang #tintuctiengviet #omicron",2022-08-09 13:18:18+00:00,858145989118623744
#COVID19 ile ilgili bu yayına bir türk olarak başhakemlik yapmak büyük gurur ve mutluluk verici gerçekten ❤️☺️ yoğun bakım COVİD19 da ppı(proton pompa inhibitörleri) yerine famodin kullanmak mortalite ve morbiditeyi azaltabilir https://t.co/Z6TIDVc1jM #Omicron #gutmicrobiome https://t.co/1p44woyfHP,2022-08-09 13:14:20+00:00,1321529891049951232
"Le ministère de la #Santé et de la Protection #sociale a annoncé, la fin de la deuxième vague #Omicron, après deux semaines consécutives de niveau de vigilance de la circulation communautaire du #Covid-19 et le début de la phase post-vague.
https://t.co/JgHxEm9whz https://t.co/dn1V6YVszH",2022-08-09 13:11:40+00:00,1357413553
"Five Things for #Pharma Marketers to Know for Tuesday, August 9, 2022. #medicalmarketing #omicron #biontech #covid #abortion #republicans #insulin #monkeypox #infectiousdiseases #climatechange #greenscreen

Via @MMMnews 

https://t.co/QRjfjL1jBf",2022-08-09 13:05:25+00:00,329899748
"Today we announced an amendment to our agreement with the @EU_Commission
 to convert contractually agreed doses of our #COVID19 vaccine (mRNA-1273) to #Omicron-containing bivalent #vaccines for supply in 2022, pending regulatory ap…https://t.co/16yy7HXAwS https://t.co/XSudDuFTW7",2022-08-09 13:03:32+00:00,793081909
A rough draft of some real strategies for managing our real pandemic ... #pandemic #Omicron #vaccines #boosters #mitigation #strategies #NormalLiving #CovidDeath #riskAverse ==&gt; https://t.co/nSdpe4PzAv https://t.co/Ixdz3EYHr4,2022-08-09 13:00:59+00:00,1253202551450873856
Immunocompromised individuals face a higher risk of developing a severe response to #COVID19. A paper in @Nature explores how the highly transmissible #Omicron variant impacts a subset of this population—organ transplant recipients: https://t.co/3x0qR1DJqv.,2022-08-09 13:00:33+00:00,1372660413674909696
"¿Sabes cuáles son los síntomas del ómicron? Aquí te los mostramos

#Covid19 #Ómicron #Omicon #Salud #Virus #Infografía #Síntomas https://t.co/lpr5YI3B7y",2022-08-09 13:00:33+00:00,1420406310974205960
"Tag 882: Der vorenthaltene #OMICRON-Booster und die auf HausärztInnen abgewälzte Verantwortung ohne Rückendeckung

#covid19at #schwereSchuld 

https://t.co/VfArb1qxJ1",2022-08-09 12:59:28+00:00,963031213
"Portugal are seeing a more significant effect from BA.4 and BA.5. it has a higher @vaccination
 rate than South Africa. There, rates of hospitalization and death are similar to those in the first #Omicron wave, although still less than those caused by earlier waves.",2022-08-09 12:56:28+00:00,1318739185532952576
"@KSerefhanoglu Çalışmaya göre hastaların 1/4'ü booster aşılamaya değil 2 doz #mRNA aşısına yeterli yanıt vermiyor. Ek doz aşı #Omicron'a karşı önemli ölçüde antikor artışı sağlıyor ama 2-4 ay arasında nötralize edici antikorda 5-7 kat azalış görülüyor. 
https://t.co/9PH5KglEZK https://t.co/Pchn7j56nT",2022-08-09 12:54:13+00:00,1456699340320292869
"#China raced on Tuesday to stamp out #COVID-19 outbreaks in the tourist hubs of #Tibet and #Hainan, with the authorities launching more rounds of mass testing and closing venues to contain the highly transmissible #Omicron variant. https://t.co/wW6erY3wVh",2022-08-09 12:45:09+00:00,789451360911626240
"Les nouveaux vaccins de Pfizer adaptés au variant #Omicron  prévus pour octobre.

Il faudrait inventer un vaccin omAcron aussi...🤓🤷‍♂️😂
#MacronLaHonte 
#macrondemission",2022-08-09 12:44:14+00:00,1512327858638700545
"Die Coronazahlen für heute Dienstag 9.8.

Der Fokus liegt auf den Todesfall Zahlen; diese nehmen kontinuierlich zu, derzeit mir +12% /Woche.

‼️878 C19 Todesfälle wurden in der letzten Woche gemeldet.

#covidisnotover 
#COVIDisAirborne 
#LongCovid 
#LongCovidKids 
#Omicron https://t.co/NVjoG2BFF1",2022-08-09 12:32:30+00:00,1352351738347577346
"INFORME COVID-19 https://t.co/axkX6z3Ssl 
#COVID19 #coronavirus #Bolivia #Vacunate #Omicron
@eldiario_net",2022-08-09 12:29:09+00:00,169196719
"9 Agost 2022

Variació Setmanal Covid: 📈🦠🧐

De -241 Hospitalitzats a -265 🏥👍🏻👍🏻
(Baixen 506 en dues setmanes)
De -9 Ucis a -9 🚨 👍🏻👍🏻
(Baixen 18 en 2 setmanes)
De 154 a 93 Defuncions ⚰️
(247 en 2 setmanes)

#Covid19 #Omicron #Hospital #Uci  #BA5

Tot baixa a bon ritme 📉👍🏻",2022-08-09 12:27:46+00:00,623568121
"#iomivaccino 
#novaccinoobliggatorio 
#NoGreenPass 

#over50 #over60
#Vaccino #vaccini 
#Covid_19 #COVID19 
#omicron #Omicron5 
#greenpass #quartadose 
#NOVaccinePassports #novaccino 
#dannidelvaccino 
#novax #cardiaci #miocardite
#terapiaintensiva https://t.co/qKjFQXEy81",2022-08-09 12:00:17+00:00,317964725
"#iomivaccino 
#novaccinoobliggatorio 
#NoGreenPass 

#over50 #over60
#Vaccino #vaccini 
#Covid_19 #COVID19 
#omicron #Omicron5 
#greenpass #quartadose 
#NOVaccinePassports #novaccino 
#dannidelvaccino 
#novax #cardiaci #miocardite
#terapiaintensiva https://t.co/89WJVTehjO",2022-08-09 11:59:20+00:00,317964725
The latest WebMD Corp! https://t.co/3XLjSY8cLu #omicron #foxnews,2022-08-09 11:58:27+00:00,1185875043428909057
#Omicron https://t.co/h5uLUBAafg,2022-08-09 11:58:18+00:00,210215413
